,Date,MUCAPE,DCAPE,LCL,LFC,PW,7-5LR,MeanRH,MeanMixR,SfcT,SfcTd,DD,FZL_AGL,WC,0-6km Shear Dir,0-6km Shear Mag,MW Dir,MW Mag,C Up Dir,C Up Mag,C Dn Dir,C Dn Mag,SM Dir,SM Mag,4-6km dir,4-6km mag,deterministicRRA,probabilisticRRA,Year,Month,Basins,Flood,Result
0,05/01/2011,146.0,462.54,2615.55,-999.0,0.44,9.16,28.24,1.64,10.57,-12.31,21.55,1029.86,0.0,350.2,30.13,5.6,19.44,350.32,6.85,358.38,29.73,35.6,14.58,327.24,17.85,,,2011.0,5.0,0.0,No Flooding,0.0
1,05/02/2011,0.0,166.45,5937.95,-999.0,0.46,6.24,26.37,1.7,13.53,-11.8,22.74,1352.66,0.0,329.68,38.15,326.68,17.28,325.39,22.01,325.22,44.36,356.68,12.96,319.47,20.17,,,2011.0,5.0,0.0,No Flooding,0.0
2,05/03/2011,1.2,137.51,3262.34,-999.0,1.05,8.25,21.78,2.87,19.73,-5.1,22.12,2116.62,0.0,282.63,51.16,270.73,22.29,264.24,16.16,269.96,46.76,300.73,16.72,263.48,25.43,,,2011.0,5.0,0.0,No Flooding,0.0
3,05/04/2011,0.0,479.66,3112.6,-999.0,0.56,6.79,24.6,2.42,18.38,-6.34,21.18,1958.72,0.0,302.96,36.25,321.5,19.75,284.17,16.18,304.43,39.24,351.5,14.81,288.78,24.54,,,2011.0,5.0,0.0,No Flooding,0.0
4,05/05/2011,0.0,251.33,4162.88,-999.0,0.73,7.5,13.8,1.89,21.4,-10.03,25.87,2536.88,0.0,278.81,32.58,274.46,13.31,274.58,17.0,276.98,34.52,304.46,9.98,264.77,17.04,,,2011.0,5.0,0.0,No Flooding,0.0
5,05/06/2011,0.0,217.07,3669.97,-999.0,0.99,8.28,16.28,3.02,25.44,-4.09,26.63,2677.13,0.0,297.23,20.41,266.94,16.97,281.7,5.04,274.31,22.9,296.94,12.73,236.95,12.08,,,2011.0,5.0,0.0,No Flooding,0.0
6,05/07/2011,28.47,1166.45,3820.52,-999.0,0.78,8.58,14.87,2.75,26.65,-5.34,26.98,2731.58,0.0,229.57,21.19,233.01,21.41,124.61,5.42,221.54,20.87,263.01,16.06,174.38,16.97,,,2011.0,5.0,0.0,No Flooding,0.0
7,05/08/2011,9.04,192.86,3355.42,-999.0,1.1,8.39,22.44,3.09,23.17,-4.74,23.78,2423.21,0.0,213.09,40.4,212.64,38.71,176.95,11.76,205.61,52.63,242.64,29.03,179.87,22.61,,,2011.0,5.0,0.0,No Flooding,0.0
8,05/09/2011,471.99,59.2,1969.4,-999.0,1.29,7.41,70.78,4.61,13.23,1.45,7.54,1316.59,0.0,234.87,1.47,241.68,6.1,210.44,9.27,220.42,17.1,271.68,4.58,180.43,6.64,,,2011.0,5.0,0.0,No Flooding,0.0
9,05/10/2011,215.01,297.59,1224.11,1868.62,1.03,7.82,59.15,4.08,11.83,-0.59,9.83,1233.69,0.0,56.01,8.03,333.31,1.98,150.32,5.2,138.84,3.28,3.31,1.49,12.72,2.76,,,2011.0,5.0,0.0,No Flooding,0.0
10,05/11/2011,41.21,503.77,2116.36,2383.13,1.11,7.48,41.4,3.73,16.8,-2.01,17.19,1678.92,0.0,351.14,16.39,332.19,13.0,327.51,2.54,335.44,17.32,2.19,9.75,314.62,10.15,,,2011.0,5.0,0.0,No Flooding,0.0
11,05/12/2011,0.0,515.03,1945.58,-999.0,1.21,6.25,37.95,4.2,20.15,0.46,15.68,2105.74,0.0,285.88,23.42,340.86,12.76,302.91,11.58,317.29,24.51,10.86,9.57,307.99,12.32,,,2011.0,5.0,0.0,No Flooding,0.0
12,05/13/2011,0.0,596.27,2602.23,-999.0,1.01,7.0,31.9,4.01,22.89,-0.74,21.08,2455.58,0.0,189.22,30.57,150.19,10.08,200.91,15.99,185.7,25.97,180.19,7.56,169.67,15.77,,,2011.0,5.0,0.0,No Flooding,0.0
13,05/14/2011,95.45,266.57,2637.06,3352.6,1.38,8.44,30.12,4.07,22.49,-0.68,21.32,2425.74,0.0,240.66,35.08,210.58,10.4,234.91,19.54,231.1,33.11,240.58,7.8,220.29,21.11,,,2011.0,5.0,0.0,No Flooding,0.0
14,05/15/2011,0.0,789.24,3296.82,-999.0,0.92,7.16,21.19,3.04,23.8,-4.18,25.72,2397.82,0.0,240.44,36.75,206.05,36.6,241.78,8.29,217.37,47.66,236.05,27.45,202.24,16.21,,,2011.0,5.0,0.0,No Flooding,0.0
15,05/16/2011,0.48,136.75,2990.13,-999.0,1.31,6.32,36.59,3.61,15.92,-2.57,16.31,1845.98,0.0,224.41,61.2,218.66,35.78,212.02,29.18,217.57,69.07,248.66,26.83,206.96,35.06,,,2011.0,5.0,0.0,No Flooding,0.0
