,Date,MUCAPE,DCAPE,LCL,LFC,PW,7-5LR,MeanRH,MeanMixR,SfcT,SfcTd,DD,FZL_AGL,WC,0-6km Shear Dir,0-6km Shear Mag,MW Dir,MW Mag,C Up Dir,C Up Mag,C Dn Dir,C Dn Mag,SM Dir,SM Mag,4-6km dir,4-6km mag,deterministicRRA,probabilisticRRA,Year,Month,Basins,Flood,Result
0,05/01/2011,167.8,197.45,1395.69,-999.0,0.44,9.1,48.11,2.3,2.6,-9.16,8.4,-999.0,-999.0,342.44,43.77,349.13,24.33,321.21,7.73,342.41,34.35,19.13,18.24,325.44,31.6,,,,,,,
1,05/02/2011,0.0,215.4,4152.26,-999.0,0.49,6.84,25.3,2.1,7.67,-9.69,16.93,739.71,0.0,333.07,44.97,321.81,19.42,331.67,18.36,327.43,41.7,351.81,14.57,305.47,23.96,,,2011.0,5.0,0.0,No Flooding,0.0
2,05/03/2011,0.0,312.06,3867.54,-999.0,0.68,7.34,30.11,3.1,12.31,-4.12,12.26,1239.69,0.0,273.39,48.92,281.57,30.79,290.2,18.51,283.43,52.1,311.57,23.09,260.68,31.27,,,2011.0,5.0,0.0,No Flooding,0.0
3,05/04/2011,0.0,323.51,2021.94,-999.0,0.5,7.3,33.63,3.19,12.34,-5.45,13.7,1384.25,0.0,306.54,31.83,317.79,16.17,287.6,12.93,304.86,30.81,347.79,12.12,293.63,20.44,,,2011.0,5.0,0.0,No Flooding,0.0
4,05/05/2011,0.0,241.87,2375.01,-999.0,0.5,7.69,24.18,3.09,15.32,-3.93,15.77,1669.85,0.0,292.18,25.16,279.53,16.02,281.74,7.95,281.22,25.74,309.53,12.02,265.95,13.86,,,2011.0,5.0,0.0,No Flooding,0.0
5,05/06/2011,0.0,355.38,2338.6,-999.0,0.81,7.85,25.12,3.36,17.1,-3.02,15.36,1741.0,0.0,301.48,5.23,273.29,20.26,20.48,2.88,282.57,18.78,303.29,15.19,232.08,7.78,,,2011.0,5.0,0.0,No Flooding,0.0
6,05/07/2011,0.0,539.01,2868.17,-999.0,0.47,8.0,20.01,2.75,16.53,-7.47,20.11,1710.85,0.0,243.15,14.66,234.45,24.17,42.64,0.8,236.24,22.87,264.45,18.13,190.53,13.85,,,2011.0,5.0,0.0,No Flooding,0.0
7,05/08/2011,58.74,261.99,1736.08,-999.0,0.98,7.79,38.77,3.8,13.0,-3.72,13.16,1255.61,0.0,226.58,46.1,220.85,46.26,235.7,11.09,223.84,59.13,250.85,34.69,193.43,31.12,,,2011.0,5.0,0.0,No Flooding,0.0
8,05/09/2011,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,209.07,35.47,207.31,9.48,197.14,16.55,204.13,28.78,237.31,7.11,198.02,16.21,,,,,,,
9,05/10/2011,128.11,48.87,497.2,-999.0,0.76,7.28,74.85,4.12,2.7,-2.25,3.99,248.66,0.0,12.25,32.93,358.74,18.02,1.47,5.88,0.77,25.54,28.74,13.52,326.51,13.63,,,2011.0,5.0,0.0,No Flooding,0.0
10,05/11/2011,78.89,86.34,875.43,-999.0,0.93,6.63,70.38,4.96,6.63,0.57,3.87,687.69,0.0,351.29,33.06,335.72,28.77,354.95,7.71,340.49,38.52,5.72,21.58,309.53,17.63,,,2011.0,5.0,0.0,No Flooding,0.0
11,05/12/2011,37.72,267.11,1584.92,-999.0,0.96,6.63,42.12,4.73,13.39,1.34,9.9,1335.78,0.0,233.85,12.22,327.61,7.86,234.14,4.44,288.66,9.57,357.61,5.9,236.28,10.75,,,2011.0,5.0,0.0,No Flooding,0.0
12,05/13/2011,97.97,554.55,2365.53,-999.0,0.93,8.35,27.66,3.99,15.89,-2.66,16.69,1597.93,0.0,199.08,27.53,174.07,15.06,228.39,13.39,199.75,26.88,204.07,11.29,192.1,9.85,,,2011.0,5.0,0.0,No Flooding,0.0
13,05/14/2011,246.35,432.96,1739.54,1982.23,1.04,8.52,36.48,4.31,13.9,-1.12,12.06,1446.43,0.0,247.23,28.05,224.71,18.34,214.5,8.87,224.53,28.09,254.71,13.75,228.47,15.41,,,2011.0,5.0,0.0,No Flooding,0.0
14,05/15/2011,0.0,289.71,2386.26,-999.0,0.71,6.43,36.78,3.52,12.97,-4.38,13.52,1241.26,0.0,235.01,55.05,214.36,47.81,234.18,19.91,221.59,69.98,244.36,35.85,204.19,29.26,,,2011.0,5.0,0.0,No Flooding,0.0
15,05/16/2011,0.0,77.75,4006.02,-999.0,1.0,5.28,48.13,3.41,5.98,-4.91,10.79,643.98,0.0,228.24,56.07,221.99,43.98,232.4,19.79,225.93,65.3,251.99,32.98,201.9,31.54,,,2011.0,5.0,0.0,No Flooding,0.0
16,05/17/2011,0.0,54.62,4184.36,-999.0,0.8,6.07,73.26,4.36,5.65,-1.76,4.3,487.71,0.0,267.17,74.83,256.98,40.29,277.25,21.07,264.04,65.14,286.98,30.22,244.82,41.55,,,2011.0,5.0,0.0,No Flooding,0.0
17,05/18/2011,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,238.98,10.05,295.69,10.16,186.97,2.64,276.07,10.18,325.69,7.62,228.48,7.39,,,2011.0,5.0,0.0,No Flooding,0.0
18,05/19/2011,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,35.43,32.14,350.46,31.11,26.65,9.04,0.88,39.24,20.46,23.33,327.64,15.47,,,,,,,
19,05/20/2011,212.12,134.45,800.31,849.85,0.97,7.04,64.12,5.0,6.91,1.36,2.58,723.1,44.86,319.03,73.78,319.29,29.18,323.17,18.08,320.61,52.19,349.29,21.88,305.61,37.72,,,,,,,
20,05/21/2011,77.05,251.38,1410.74,-999.0,1.14,7.18,42.2,4.87,12.81,2.0,8.74,1267.45,0.0,234.21,22.33,255.43,14.47,221.94,8.68,242.52,23.55,285.43,10.85,215.74,14.88,,,2011.0,5.0,0.0,No Flooding,0.0
21,05/22/2011,739.38,321.09,1142.78,1421.2,1.17,7.83,49.61,5.32,12.7,2.7,9.14,1308.37,210.38,204.06,24.71,215.91,18.19,207.61,13.34,211.44,31.74,245.91,13.64,192.02,13.24,,,2011.0,5.0,0.0,No Flooding,0.0
22,05/23/2011,455.26,206.46,1135.39,1225.37,1.02,7.93,52.83,4.73,9.91,-0.19,9.06,1035.86,0.0,217.98,26.48,232.17,19.91,197.78,12.11,219.85,31.51,262.17,14.93,194.64,19.3,,,2011.0,5.0,0.0,No Flooding,0.0
