,Date,MUCAPE,DCAPE,LCL,LFC,PW,7-5LR,MeanRH,MeanMixR,SfcT,SfcTd,DD,FZL_AGL,WC,0-6km Shear Dir,0-6km Shear Mag,MW Dir,MW Mag,C Up Dir,C Up Mag,C Dn Dir,C Dn Mag,SM Dir,SM Mag,4-6km dir,4-6km mag,deterministicRRA,probabilisticRRA,Basins,Year,Month
0,05/01/2008,0.0,137.79,3786.78,-999.0,0.34,4.9,16.81,1.07,11.5,-17.39,24.03,1132.59,0.0,299.1,73.47,316.69,33.28,290.36,29.87,303.09,71.76,346.69,24.96,296.18,54.85,,,0.0,2008,5
1,05/02/2008,0.0,336.6,7141.59,-999.0,0.38,4.55,22.81,1.49,15.02,-13.84,25.38,1486.03,0.0,304.17,30.75,303.84,10.28,309.76,18.83,305.97,32.85,333.84,7.71,289.26,19.98,,,0.0,2008,5
2,05/03/2008,14.26,187.09,4319.18,-999.0,0.72,8.63,15.06,1.78,21.37,-11.56,29.7,2194.74,0.0,255.95,40.77,249.1,19.1,230.71,17.16,243.82,41.9,279.1,14.33,224.96,20.37,,,0.0,2008,5
3,05/04/2008,0.0,216.02,3606.74,-999.0,0.98,8.54,16.47,2.35,23.72,-8.29,31.15,2437.07,0.0,217.13,35.07,191.0,16.31,225.85,15.09,210.9,36.0,221.0,12.24,197.27,17.22,,,0.0,2008,5
4,05/06/2008,88.53,916.06,3606.93,3844.52,1.15,9.21,17.42,2.89,23.95,-4.93,25.57,2470.22,0.0,12.62,21.58,315.83,18.42,44.92,11.38,356.91,23.87,345.83,13.82,310.39,4.46,,,0.0,2008,5
5,05/07/2008,237.16,929.16,2874.3,3171.4,1.48,8.88,28.4,4.41,25.11,-0.12,22.16,2509.83,0.0,235.23,23.46,246.74,24.96,183.18,9.55,233.1,33.57,276.74,18.72,185.98,21.26,,,0.0,2008,5
6,05/08/2008,305.54,762.22,1711.22,-999.0,1.22,8.21,49.16,5.05,21.71,2.81,13.73,2234.84,235.5,276.45,38.13,273.0,19.96,263.03,9.96,271.52,36.08,303.0,14.97,252.14,22.26,,,0.0,2008,5
7,05/09/2008,0.0,885.86,3441.61,-999.0,0.85,8.2,20.66,2.94,24.23,-5.32,28.16,2466.98,0.0,253.43,34.05,261.86,24.77,224.01,8.13,252.14,35.52,291.86,18.58,221.09,19.95,,,0.0,2008,5
8,05/10/2008,0.0,235.43,2462.28,-999.0,1.01,6.13,36.27,4.0,21.76,-0.76,20.0,2295.5,0.0,278.69,32.51,264.41,9.83,276.24,20.22,273.96,33.51,294.41,7.37,274.96,16.74,,,0.0,2008,5
9,05/11/2008,0.7,242.38,3720.92,-999.0,0.89,8.7,12.98,2.5,26.66,-7.49,32.26,2793.62,0.0,227.53,11.73,244.33,22.6,131.13,4.83,234.68,23.75,274.33,16.95,177.09,11.04,,,0.0,2008,5
10,05/12/2008,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,237.59,57.56,248.46,24.56,224.24,40.78,234.29,70.15,278.46,18.42,214.13,32.8,,,0.0,2008,5
11,05/13/2008,0.0,162.83,3534.03,-999.0,1.34,6.18,60.04,4.19,15.89,-0.5,12.44,1600.54,0.0,25.95,49.39,22.88,22.39,11.94,11.07,18.93,41.41,52.88,16.79,6.65,22.58,,,0.0,2008,5
12,05/14/2008,29.58,481.99,2883.96,-999.0,1.71,6.4,29.58,4.57,23.42,0.2,21.34,2350.68,0.0,21.66,38.79,357.64,18.8,26.29,11.91,11.68,38.48,27.64,14.1,328.33,18.39,,,0.0,2008,5
13,05/15/2008,114.35,578.25,2467.14,-999.0,1.43,6.93,37.94,4.58,22.08,0.71,20.03,2193.99,0.0,37.53,59.97,38.42,32.5,42.81,14.33,40.16,55.67,68.42,24.37,13.72,31.86,,,0.0,2008,5
14,05/16/2008,0.0,217.32,4465.35,-999.0,1.3,6.22,30.29,3.66,23.9,-2.34,23.18,2480.68,0.0,19.15,28.07,34.49,19.63,10.7,11.24,24.59,35.28,64.49,14.73,358.61,12.8,,,0.0,2008,5
15,05/17/2008,0.0,1076.65,3333.07,-999.0,1.22,7.72,22.77,3.76,27.88,-1.42,27.16,2905.42,0.0,29.29,38.78,26.62,9.16,15.78,17.77,21.09,32.75,56.62,6.87,14.11,16.12,,,0.0,2008,5
16,05/18/2008,2.99,1359.24,3980.45,-999.0,1.33,8.76,17.2,3.99,32.44,-1.23,30.91,3357.28,0.0,7.73,18.95,338.17,17.2,46.52,4.54,351.58,21.57,8.17,12.9,327.97,10.33,,,0.0,2008,5
17,05/19/2008,160.09,305.48,4169.99,-999.0,1.77,9.37,13.12,3.93,33.98,-0.57,32.04,3512.18,0.0,348.22,8.8,325.1,8.62,276.93,3.0,318.47,12.87,355.1,6.47,265.6,8.63,,,0.0,2008,5
18,05/20/2008,278.52,304.86,4392.48,-999.0,1.48,9.18,11.99,3.48,34.18,-2.77,33.88,3538.25,0.0,223.72,12.09,233.75,27.7,108.26,7.88,223.01,23.99,263.75,20.77,151.15,20.9,,,0.0,2008,5
19,05/21/2008,515.09,88.49,2026.22,-999.0,1.63,7.91,51.2,5.35,18.4,2.67,12.47,1972.86,0.0,189.42,15.3,284.9,10.93,205.33,10.75,235.49,16.35,314.9,8.2,191.47,13.69,,,0.0,2008,5
20,05/22/2008,150.75,274.22,1458.69,2029.03,1.17,7.71,55.49,4.46,14.21,0.9,11.74,1462.67,0.0,182.62,31.69,171.32,8.38,155.07,7.38,167.23,20.42,201.32,6.28,161.57,12.87,,,0.0,2008,5
21,05/23/2008,130.0,296.82,1865.75,2518.43,1.15,7.93,48.09,3.84,15.1,-1.98,15.12,1517.65,0.0,225.55,22.12,196.81,9.68,253.56,7.3,223.53,18.01,226.81,7.26,202.77,8.76,,,0.0,2008,5
22,05/24/2008,80.24,443.73,2084.95,-999.0,1.15,6.05,45.14,4.05,17.65,-1.09,16.93,1768.18,0.0,218.05,64.54,209.07,27.44,205.37,26.83,210.63,64.11,239.07,20.58,207.07,40.0,,,0.0,2008,5
23,05/25/2008,173.37,402.52,2426.46,-999.0,1.63,6.58,36.09,5.38,21.58,2.64,17.6,2149.84,0.0,202.95,55.45,192.03,27.22,202.96,22.93,198.61,57.37,222.03,20.42,178.35,32.25,,,0.0,2008,5
24,05/26/2008,126.64,660.08,2511.13,-999.0,1.12,7.55,35.3,3.75,19.63,-2.12,20.46,1964.04,0.0,232.83,58.26,242.38,22.24,212.13,20.7,229.07,49.9,272.38,16.68,221.49,31.0,,,0.0,2008,5
25,05/27/2008,0.0,703.9,2650.14,-999.0,1.17,7.17,33.62,4.02,24.37,-1.17,21.51,2522.03,0.0,217.46,45.66,198.89,21.88,222.96,20.4,214.01,48.73,228.89,16.41,198.73,25.98,,,0.0,2008,5
26,05/28/2008,0.0,896.52,3625.29,-999.0,0.9,7.77,18.66,2.76,25.42,-6.03,28.91,2614.54,0.0,219.22,65.44,220.16,31.49,205.21,21.75,215.43,64.28,250.16,23.62,190.47,34.34,,,0.0,2008,5
27,05/29/2008,0.5,854.04,3660.0,-999.0,1.06,7.87,18.43,3.05,24.08,-4.68,25.42,2416.37,0.0,251.35,50.97,247.23,21.36,228.64,14.19,244.4,46.89,277.23,16.02,225.18,23.61,,,0.0,2008,5
28,05/30/2008,0.0,270.9,5667.91,-999.0,0.8,6.51,15.44,2.18,25.68,-8.98,32.02,2715.82,0.0,245.63,36.03,250.48,17.82,233.85,15.91,245.01,40.26,280.48,13.36,234.38,20.31,,,0.0,2008,5
29,05/31/2008,0.0,272.05,4631.95,-999.0,0.92,7.38,12.3,2.57,28.65,-6.82,32.16,3228.95,0.0,247.5,35.57,243.52,20.73,228.34,12.32,241.26,38.86,273.52,15.55,227.07,20.88,,,0.0,2008,5
