,Date,MUCAPE,DCAPE,LCL,LFC,PW,7-5LR,MeanRH,MeanMixR,SfcT,SfcTd,DD,FZL_AGL,WC,0-6km Shear Dir,0-6km Shear Mag,MW Dir,MW Mag,C Up Dir,C Up Mag,C Dn Dir,C Dn Mag,SM Dir,SM Mag,4-6km dir,4-6km mag,deterministicRRA,probabilisticRRA,Basins,Year,Month
0,05/01/2008,0.0,152.87,5925.86,-999.0,0.42,3.79,23.36,1.42,14.05,-13.78,26.11,1397.89,0.0,305.44,65.67,329.87,31.97,298.48,34.45,310.4,75.14,359.87,23.98,297.5,47.02,,,0.0,2008,5
1,05/02/2008,0.0,390.75,6055.34,-999.0,0.45,5.74,18.43,1.41,18.19,-13.48,28.68,2047.99,0.0,272.05,22.48,323.48,9.06,279.98,10.72,293.36,22.94,353.48,6.79,270.67,17.02,,,0.0,2008,5
2,05/03/2008,0.0,224.36,3796.81,-999.0,0.7,7.99,13.75,1.87,22.33,-9.79,31.06,2379.43,0.0,249.88,37.86,247.38,13.6,244.04,17.3,247.53,39.52,277.38,10.2,233.7,15.49,,,0.0,2008,5
3,05/04/2008,29.84,286.11,3716.92,-999.0,1.23,8.58,17.97,2.67,25.71,-6.09,31.19,2636.27,0.0,196.04,44.36,189.46,14.91,188.24,19.5,192.85,43.47,219.46,11.18,160.17,25.26,,,0.0,2008,5
4,05/05/2008,156.79,204.15,3871.83,-999.0,0.97,9.28,16.63,2.58,25.89,-4.92,25.26,2723.9,0.0,114.95,32.6,130.11,4.32,100.58,19.79,110.24,28.84,160.11,3.24,104.49,17.29,,,0.0,2008,5
5,05/06/2008,47.29,254.21,3695.03,-999.0,1.15,8.84,20.14,2.9,26.2,-4.15,28.39,2824.4,0.0,15.0,29.01,294.48,15.31,12.9,21.6,350.4,34.6,324.48,11.48,353.75,9.81,,,0.0,2008,5
6,05/07/2008,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,219.39,40.32,230.46,20.82,205.71,23.31,220.45,46.52,260.46,15.62,210.18,24.48,,,0.0,2008,5
7,05/08/2008,56.38,743.18,2283.79,-999.0,1.12,7.0,43.9,4.92,23.4,2.68,18.46,2490.13,0.0,278.93,39.76,270.72,17.88,279.19,17.66,275.36,43.2,300.72,13.41,256.59,20.93,,,0.0,2008,5
8,05/09/2008,0.0,816.77,3138.4,-999.0,1.26,7.57,27.48,3.65,25.77,-1.8,25.54,2660.86,0.0,283.31,34.25,265.75,19.37,304.71,16.88,283.14,39.67,295.75,14.53,271.78,16.41,,,0.0,2008,5
9,05/10/2008,0.0,669.63,3916.83,-999.0,0.71,6.72,21.57,2.58,24.93,-5.76,28.3,2958.67,0.0,284.22,14.57,263.88,8.67,262.24,4.79,266.4,16.26,293.88,6.5,268.18,11.82,,,0.0,2008,5
10,05/11/2008,0.0,218.82,3877.07,-999.0,0.97,7.78,16.08,3.01,28.01,-4.47,31.7,2983.97,0.0,258.72,20.81,236.57,22.71,327.98,11.56,265.42,29.02,266.57,17.03,215.72,12.32,,,0.0,2008,5
11,05/12/2008,158.91,75.32,2543.8,-999.0,1.88,7.32,57.18,4.93,19.79,2.64,11.11,2374.72,32.15,249.93,61.08,280.24,20.01,242.51,42.14,251.29,70.26,310.24,15.01,234.82,36.35,,,0.0,2008,5
